,city name,country,date,lon,lat,max temp,humidity,cloudiness,wind speed
0,Adrar,MR,1590273225,-10.07,20.5,86.23,13,0,10.2
1,Hermanus,ZA,1590273225,19.23,-34.42,48.99,95,0,7.18
2,Busselton,AU,1590273225,115.33,-33.65,64.99,25,100,21.18
3,Jamestown,US,1590273223,-79.24,42.1,70.0,77,20,4.29
4,Atasū,KZ,1590273225,71.64,48.68,63.7,62,7,7.05
5,Deputatsky,RU,1590273225,139.9,69.3,34.59,100,100,3.33
6,Saskylakh,RU,1590273225,114.08,71.92,47.59,93,82,9.24
7,Hay River,CA,1590273225,-115.8,60.82,44.6,56,20,10.29
8,Albany,US,1590273225,-73.97,42.6,80.6,21,20,10.29
9,Rikitea,PF,1590273225,-134.97,-23.12,70.7,67,34,20.58
10,Mataura,NZ,1590273226,168.86,-46.19,52.29,75,100,1.34
11,Quatre Cocos,MU,1590273226,57.76,-20.21,68.0,82,75,3.36
12,Iqaluit,CA,1590273226,-68.51,63.75,26.6,79,90,23.04
13,Souillac,MU,1590273226,57.52,-20.52,68.0,82,75,3.36
14,Guayaramerín,BO,1590273226,-65.36,-10.84,66.51,67,89,6.78
15,Punta Arenas,CL,1590272990,-70.92,-53.15,46.4,93,90,9.17
16,Honiara,SB,1590273226,159.95,-9.43,84.2,79,40,2.24
17,Yelizovo,RU,1590273226,158.38,53.19,51.8,50,100,6.71
18,Manatí,PR,1590273217,-66.49,18.43,87.8,62,40,8.05
19,Bredasdorp,ZA,1590273226,20.04,-34.53,55.4,76,0,5.82
20,Ushuaia,AR,1590273226,-68.3,-54.8,41.0,86,90,27.51
21,Hobart,AU,1590273070,147.33,-42.88,48.2,87,75,10.29
22,Zhigalovo,RU,1590273226,105.16,54.81,57.42,60,68,1.28
23,Leningradskiy,RU,1590273226,178.42,69.38,30.24,97,100,10.56
24,Tiksi,RU,1590273226,128.87,71.69,42.3,85,94,17.54
25,Lompoc,US,1590273226,-120.46,34.64,64.4,63,1,16.11
26,Atuona,PF,1590273226,-139.03,-9.8,80.64,72,4,15.79
27,Kapaa,US,1590273226,-159.32,22.08,80.6,78,40,10.29
28,Gushikawa,JP,1590273226,127.87,26.35,73.4,94,75,6.93
29,Kiama,AU,1590273226,150.87,-34.68,60.01,77,100,8.01
30,Constitución,CL,1590273227,-72.42,-35.33,57.74,51,29,8.63
31,Butaritari,KI,1590272754,172.79,3.07,82.8,78,54,9.15
32,Avarua,CK,1590273227,-159.78,-21.21,82.4,78,72,8.05
33,New Norfolk,AU,1590273227,147.06,-42.78,48.0,87,91,1.01
34,Provideniya,RU,1590273227,-173.3,64.38,38.8,85,100,5.37
35,Makubetsu,JP,1590273227,141.82,45.37,52.7,90,99,12.88
36,Tasiilaq,GL,1590273227,-37.64,65.61,44.6,88,100,12.75
37,Cayenne,GF,1590273005,-52.33,4.93,77.0,100,98,5.82
38,Aklavik,CA,1590273227,-135.01,68.22,57.2,33,5,11.41
39,Lagoa,PT,1590273227,-27.98,39.05,65.26,90,96,12.24
40,Tezu,IN,1590273227,96.17,27.92,71.29,83,98,3.42
41,Qaanaaq,GL,1590273227,-69.36,77.48,28.8,92,0,2.91
42,Vaini,TO,1590273227,-175.2,-21.2,77.0,73,20,9.17
43,Nikolskoye,RU,1590273227,30.79,59.7,41.0,65,0,6.71
44,Fort Nelson,CA,1590273043,-122.7,58.81,69.8,30,40,4.7
45,Saint-Philippe,RE,1590273227,55.77,-21.36,66.2,72,75,6.93
46,Ucluelet,CA,1590273115,-125.55,48.93,53.6,76,90,5.82
47,Kitimat,CA,1590273227,-128.65,54.05,55.4,58,90,11.41
48,Zverinogolovskoye,RU,1590273227,64.85,54.46,61.84,94,99,6.64
49,Hilo,US,1590273220,-155.09,19.73,82.4,58,75,5.82
50,Tabuk,PH,1590273227,121.44,17.42,79.93,72,99,1.14
51,Aitape,PG,1590273227,142.35,-3.14,84.42,72,38,1.57
52,Lucea,JM,1590273227,-78.17,18.45,84.2,74,75,11.41
53,Severo-Kuril'sk,RU,1590273227,156.12,50.68,42.04,66,44,7.18
54,Tilichiki,RU,1590273227,166.1,60.47,35.78,84,5,7.31
55,Saint George,US,1590273156,-113.58,37.1,77.0,15,1,11.41
56,Lamu,KE,1590273227,40.9,-2.27,79.27,80,21,16.49
57,Tonekābon,IR,1590273228,50.87,36.82,62.6,100,90,16.11
58,Lopukhiv,UA,1590273228,23.96,48.37,43.07,82,94,1.41
59,Mahébourg,MU,1590273228,57.7,-20.41,68.0,82,75,3.36
60,Barrow,US,1590273034,-156.79,71.29,32.0,98,90,13.87
61,Husavik,IS,1590273228,-17.34,66.04,41.0,80,0,5.82
62,Kununurra,AU,1590273228,128.73,-15.77,59.0,47,0,6.93
63,Vao,NC,1590273228,167.48,-22.67,74.23,77,26,21.12
64,Dikson,RU,1590273184,80.55,73.51,41.76,83,68,14.25
65,Strezhevoy,RU,1590273228,77.59,60.73,53.6,87,68,6.71
66,Lakes Entrance,AU,1590273228,147.98,-37.88,51.01,94,68,6.98
67,Yar-Sale,RU,1590273228,70.83,66.83,49.59,81,100,13.02
68,Sobolevo,RU,1590273228,31.9,54.43,37.36,94,28,4.25
69,George Town,MY,1590273072,100.34,5.41,78.8,94,20,4.7
70,Hithadhoo,MV,1590273228,73.08,-0.6,83.98,77,100,12.46
71,San Miguel de Tucumán,AR,1590273215,-65.22,-26.82,55.4,47,0,5.82
72,Pevek,RU,1590273228,170.31,69.7,30.74,95,100,4.65
73,Saint-Pierre,RE,1590273228,55.48,-21.34,66.2,72,75,6.93
74,Bluff,NZ,1590273228,168.33,-46.6,50.41,90,100,1.86
75,Wau,SS,1590273228,28.0,7.7,76.68,67,9,4.36
76,Mossamedes,AO,1590273228,12.15,-15.2,76.55,56,0,4.43
77,Bairiki Village,KI,1590273045,172.98,1.33,86.0,70,40,9.17
78,Xam Nua,LA,1590273228,104.04,20.42,70.74,87,100,1.72
79,Loa Janan,ID,1590273228,117.09,-0.58,75.52,97,99,2.21
80,São Filipe,CV,1590273228,-24.5,14.9,75.81,68,0,6.31
81,Aykhal,RU,1590273228,111.5,66.0,62.6,39,63,4.47
82,Majene,ID,1590273228,118.97,-3.54,79.65,76,44,2.68
83,Chui,UY,1590273228,-53.46,-33.7,58.6,83,99,14.9
84,Matanzas,CU,1590273229,-81.58,23.04,75.2,94,90,6.93
85,Muhos,FI,1590273229,25.99,64.81,44.6,72,40,1.12
86,Ambulu,ID,1590273229,113.61,-8.35,77.04,86,2,2.66
87,Longyearbyen,SJ,1590273186,15.64,78.22,39.2,69,75,3.36
88,Hasaki,JP,1590273229,140.83,35.73,68.0,82,75,6.93
89,George,ZA,1590273229,22.46,-33.96,55.4,82,0,3.36
90,Khandyga,RU,1590273229,135.6,62.67,54.84,38,88,6.55
91,Chivay,PE,1590273229,-71.6,-15.64,49.73,46,22,7.9
92,Narsaq,GL,1590273229,-46.05,60.92,55.4,28,17,13.87
93,Fayaoué,NC,1590273229,166.53,-20.65,75.88,70,99,10.45
94,Geraldton,AU,1590273041,114.6,-28.77,75.2,17,100,31.09
95,Nizwá,OM,1590273229,57.53,22.93,77.2,79,8,5.23
96,Thompson,CA,1590273229,-97.86,55.74,73.4,33,75,8.05
97,Luganville,VU,1590273229,167.17,-15.53,78.8,78,75,5.01
98,Noumea,NC,1590273229,166.46,-22.28,75.2,64,29,3.36
99,Camacha,PT,1590273229,-16.33,33.08,69.8,60,40,12.75
100,Honningsvåg,NO,1590273229,25.97,70.98,43.95,83,22,23.22
