,city name,country,date,lon,lat,max temp,humidity,cloudiness,wind speed
0,Adrar,MR,1590273225,-10.07,20.5,86.23,13,0,10.2
3,Jamestown,US,1590273223,-79.24,42.1,70.0,77,20,4.29
4,Atasū,KZ,1590273225,71.64,48.68,63.7,62,7,7.05
5,Deputatsky,RU,1590273225,139.9,69.3,34.59,100,100,3.33
6,Saskylakh,RU,1590273225,114.08,71.92,47.59,93,82,9.24
7,Hay River,CA,1590273225,-115.8,60.82,44.6,56,20,10.29
8,Albany,US,1590273225,-73.97,42.6,80.6,21,20,10.29
12,Iqaluit,CA,1590273226,-68.51,63.75,26.6,79,90,23.04
17,Yelizovo,RU,1590273226,158.38,53.19,51.8,50,100,6.71
18,Manatí,PR,1590273217,-66.49,18.43,87.8,62,40,8.05
22,Zhigalovo,RU,1590273226,105.16,54.81,57.42,60,68,1.28
23,Leningradskiy,RU,1590273226,178.42,69.38,30.24,97,100,10.56
24,Tiksi,RU,1590273226,128.87,71.69,42.3,85,94,17.54
25,Lompoc,US,1590273226,-120.46,34.64,64.4,63,1,16.11
27,Kapaa,US,1590273226,-159.32,22.08,80.6,78,40,10.29
28,Gushikawa,JP,1590273226,127.87,26.35,73.4,94,75,6.93
31,Butaritari,KI,1590272754,172.79,3.07,82.8,78,54,9.15
34,Provideniya,RU,1590273227,-173.3,64.38,38.8,85,100,5.37
35,Makubetsu,JP,1590273227,141.82,45.37,52.7,90,99,12.88
36,Tasiilaq,GL,1590273227,-37.64,65.61,44.6,88,100,12.75
37,Cayenne,GF,1590273005,-52.33,4.93,77.0,100,98,5.82
38,Aklavik,CA,1590273227,-135.01,68.22,57.2,33,5,11.41
39,Lagoa,PT,1590273227,-27.98,39.05,65.26,90,96,12.24
40,Tezu,IN,1590273227,96.17,27.92,71.29,83,98,3.42
41,Qaanaaq,GL,1590273227,-69.36,77.48,28.8,92,0,2.91
43,Nikolskoye,RU,1590273227,30.79,59.7,41.0,65,0,6.71
44,Fort Nelson,CA,1590273043,-122.7,58.81,69.8,30,40,4.7
46,Ucluelet,CA,1590273115,-125.55,48.93,53.6,76,90,5.82
47,Kitimat,CA,1590273227,-128.65,54.05,55.4,58,90,11.41
48,Zverinogolovskoye,RU,1590273227,64.85,54.46,61.84,94,99,6.64
49,Hilo,US,1590273220,-155.09,19.73,82.4,58,75,5.82
50,Tabuk,PH,1590273227,121.44,17.42,79.93,72,99,1.14
52,Lucea,JM,1590273227,-78.17,18.45,84.2,74,75,11.41
53,Severo-Kuril'sk,RU,1590273227,156.12,50.68,42.04,66,44,7.18
54,Tilichiki,RU,1590273227,166.1,60.47,35.78,84,5,7.31
55,Saint George,US,1590273156,-113.58,37.1,77.0,15,1,11.41
57,Tonekābon,IR,1590273228,50.87,36.82,62.6,100,90,16.11
58,Lopukhiv,UA,1590273228,23.96,48.37,43.07,82,94,1.41
60,Barrow,US,1590273034,-156.79,71.29,32.0,98,90,13.87
61,Husavik,IS,1590273228,-17.34,66.04,41.0,80,0,5.82
64,Dikson,RU,1590273184,80.55,73.51,41.76,83,68,14.25
65,Strezhevoy,RU,1590273228,77.59,60.73,53.6,87,68,6.71
67,Yar-Sale,RU,1590273228,70.83,66.83,49.59,81,100,13.02
68,Sobolevo,RU,1590273228,31.9,54.43,37.36,94,28,4.25
69,George Town,MY,1590273072,100.34,5.41,78.8,94,20,4.7
72,Pevek,RU,1590273228,170.31,69.7,30.74,95,100,4.65
75,Wau,SS,1590273228,28.0,7.7,76.68,67,9,4.36
77,Bairiki Village,KI,1590273045,172.98,1.33,86.0,70,40,9.17
78,Xam Nua,LA,1590273228,104.04,20.42,70.74,87,100,1.72
80,São Filipe,CV,1590273228,-24.5,14.9,75.81,68,0,6.31
81,Aykhal,RU,1590273228,111.5,66.0,62.6,39,63,4.47
84,Matanzas,CU,1590273229,-81.58,23.04,75.2,94,90,6.93
85,Muhos,FI,1590273229,25.99,64.81,44.6,72,40,1.12
87,Longyearbyen,SJ,1590273186,15.64,78.22,39.2,69,75,3.36
88,Hasaki,JP,1590273229,140.83,35.73,68.0,82,75,6.93
90,Khandyga,RU,1590273229,135.6,62.67,54.84,38,88,6.55
92,Narsaq,GL,1590273229,-46.05,60.92,55.4,28,17,13.87
95,Nizwá,OM,1590273229,57.53,22.93,77.2,79,8,5.23
96,Thompson,CA,1590273229,-97.86,55.74,73.4,33,75,8.05
99,Camacha,PT,1590273229,-16.33,33.08,69.8,60,40,12.75
100,Honningsvåg,NO,1590273229,25.97,70.98,43.95,83,22,23.22
101,Ilulissat,GL,1590273229,-51.1,69.22,37.4,74,66,5.82
102,Chapais,CA,1590273229,-74.85,49.78,59.0,22,1,5.82
105,Tuktoyaktuk,CA,1590273229,-133.04,69.45,39.2,98,5,13.87
107,Skellefteå,SE,1590273229,20.95,64.75,46.0,75,100,6.93
110,Bereda,ES,1590273229,-7.54,43.27,54.0,92,100,11.99
111,Evensk,RU,1590273230,159.23,61.95,42.71,60,0,3.67
112,Torbay,CA,1590273230,-52.73,47.67,43.0,72,75,16.11
118,Cap-Haïtien,HT,1590273230,-72.2,19.76,82.11,80,78,9.28
120,Khatanga,RU,1590273230,102.5,71.97,54.57,76,48,5.01
125,Saint Paul Harbor,US,1590273230,-152.41,57.79,48.2,81,90,10.29
126,Santa Ana,US,1590273061,-117.87,33.75,75.99,49,75,10.29
128,Sittwe,MM,1590273230,92.9,20.15,82.89,77,80,1.61
130,Yatou,CN,1590273230,122.38,37.15,59.92,85,4,7.31
131,Kamaishi,JP,1590273230,141.88,39.27,64.31,79,43,6.15
136,Klaksvík,FO,1590273231,-6.59,62.23,46.4,93,100,20.8
137,Yarkovo,RU,1590273231,67.08,57.4,48.43,72,78,0.13
138,Inuvik,CA,1590273231,-133.72,68.35,55.4,58,5,11.41
139,Cherskiy,RU,1590273231,161.3,68.75,34.9,78,13,8.01
140,Kudeyevskiy,RU,1590273231,56.76,54.88,57.2,87,90,4.47
141,Nizhniy Baskunchak,RU,1590273231,46.83,48.22,47.86,84,1,10.74
142,Hong Kong,HK,1590273031,114.16,22.29,78.01,83,75,5.99
144,Margate,GB,1590273231,1.39,51.38,55.99,57,43,11.99
146,Simbahan,PH,1590273231,120.58,6.3,83.73,77,69,7.65
147,Ushtobe,KZ,1590273231,77.98,45.25,69.33,39,0,21.0
149,Sarakhs,IR,1590273231,61.16,36.54,73.4,31,0,2.24
150,Panabá,MX,1590273231,-88.27,21.28,88.5,54,75,9.28
151,Hamilton,US,1590273231,-84.53,39.18,73.0,83,75,3.36
152,Berdigestyakh,RU,1590273185,126.7,62.1,51.64,54,60,6.58
155,Thinadhoo,MV,1590273232,72.93,0.53,83.5,79,100,19.98
156,Kyra,RU,1590273232,111.98,49.58,51.64,59,100,5.57
157,Ketchikan,US,1590273232,-131.65,55.34,51.8,93,90,11.41
